gNB(x),gNB(y),Throughput(Mbps)
1400.000000,2200.000000,374.554240,
1600.000000,2200.000000,388.348320,
1800.000000,2200.000000,399.245760,
2000.000000,2200.000000,380.861440,
2200.000000,2200.000000,369.380000,
2400.000000,2200.000000,362.477120,
2600.000000,2200.000000,352.128640,
2800.000000,2200.000000,334.900640,
3000.000000,2200.000000,310.723040,
3200.000000,2200.000000,288.332480,
3400.000000,2200.000000,252.171200,
400.000000,2400.000000,282.831200,
600.000000,2400.000000,303.282880,
800.000000,2400.000000,298.727680,
1000.000000,2400.000000,315.383360,
1200.000000,2400.000000,340.647200,
1400.000000,2400.000000,355.585920,
1600.000000,2400.000000,384.879360,
1800.000000,2400.000000,394.632160,
2000.000000,2400.000000,382.006080,
2200.000000,2400.000000,361.344160,
2400.000000,2400.000000,345.249120,
2600.000000,2400.000000,322.216160,
2800.000000,2400.000000,314.192000,
3000.000000,2400.000000,299.825600,
3200.000000,2400.000000,275.157440,
3400.000000,2400.000000,241.811040,
400.000000,2600.000000,277.108000,
600.000000,2600.000000,294.347680,
800.000000,2600.000000,290.096160,
1000.000000,2600.000000,313.070720,
1200.000000,2600.000000,325.731840,
1400.000000,2600.000000,348.110720,
1600.000000,2600.000000,356.134880,
1800.000000,2600.000000,363.037760,
2000.000000,2600.000000,346.370400,
2200.000000,2600.000000,335.472960,
2400.000000,2600.000000,314.776000,
2600.000000,2600.000000,305.572160,
2800.000000,2600.000000,294.651360,
3000.000000,2600.000000,265.346240,
3200.000000,2600.000000,253.899840,
400.000000,2800.000000,298.155360,
600.000000,2800.000000,289.897600,
800.000000,2800.000000,292.408800,
1000.000000,2800.000000,303.890240,
1200.000000,2800.000000,317.672640,
1400.000000,2800.000000,330.871040,
1600.000000,2800.000000,343.485440,
1800.000000,2800.000000,340.028160,
2000.000000,2800.000000,329.703040,
2200.000000,2800.000000,314.215360,
2400.000000,2800.000000,302.722240,
2600.000000,2800.000000,279.140320,
2800.000000,2800.000000,263.056960,
3000.000000,2800.000000,237.244160,
3200.000000,2800.000000,221.756480,
600.000000,3000.000000,309.648480,
800.000000,3000.000000,302.698880,
1000.000000,3000.000000,290.668480,
1200.000000,3000.000000,307.908160,
1400.000000,3000.000000,320.522560,
1600.000000,3000.000000,323.968160,
1800.000000,3000.000000,319.366240,
2000.000000,3000.000000,303.282880,
2200.000000,3000.000000,290.668480,
2400.000000,3000.000000,280.868960,
2600.000000,3000.000000,256.177440,
2800.000000,3000.000000,233.786880,
3000.000000,3000.000000,221.160800,
3200.000000,3000.000000,201.631840,
800.000000,3200.000000,325.428160,
1000.000000,3200.000000,305.875840,
1200.000000,3200.000000,282.025280,
1400.000000,3200.000000,295.784320,
1600.000000,3200.000000,295.784320,
1800.000000,3200.000000,296.368320,
2000.000000,3200.000000,283.181600,
2200.000000,3200.000000,270.543840,
2400.000000,3200.000000,249.274560,
2600.000000,3200.000000,236.099520,
2800.000000,3200.000000,218.299200,
3000.000000,3200.000000,195.920320,
1000.000000,3400.000000,313.923360,
1200.000000,3400.000000,289.909280,
1400.000000,3400.000000,271.665120,
1600.000000,3400.000000,274.526720,
1800.000000,3400.000000,263.617600,
2000.000000,3400.000000,254.448800,
2200.000000,3400.000000,241.799360,
2400.000000,3400.000000,233.763520,
2600.000000,3400.000000,220.027840,
1000.000000,3600.000000,328.535040,
1200.000000,3600.000000,335.087520,
1400.000000,3600.000000,300.935200,
1600.000000,3600.000000,288.601120,
1800.000000,3600.000000,249.251200,
2000.000000,3600.000000,228.589280,
2200.000000,3600.000000,218.252480,
