Case,gNB(x),gNB(y),Current_Cell_Agg_Throughput(Mbps),Total_Agg_Throughput(Mbps)
113,2200.000000,1400.000000,184.894397,1990.972802
114,2400.000000,1400.000000,180.689600,2000.589337
115,2600.000000,1400.000000,192.291728,1986.222932
116,2800.000000,1400.000000,182.324799,1989.415470
117,3000.000000,1400.000000,175.939730,2006.468268
118,3200.000000,1400.000000,156.979200,2016.513072
119,3400.000000,1400.000000,150.438399,2013.398403
120,3600.000000,1400.000000,144.754134,2008.570672
121,3800.000000,1400.000000,138.953067,1999.343471
122,4000.000000,1400.000000,132.529068,1975.710941
123,400.000000,1600.000000,199.260800,2000.511470
124,600.000000,1600.000000,173.448000,1992.296537
125,800.000000,1600.000000,165.544534,1982.641071
126,1000.000000,1600.000000,161.534398,1986.806937
127,1200.000000,1600.000000,147.090132,1983.341868
128,1400.000000,1600.000000,154.448531,1987.858134
129,1600.000000,1600.000000,167.062933,1998.175470
130,1800.000000,1600.000000,175.394667,2003.587203
131,2000.000000,1600.000000,174.226665,2010.361602
132,2200.000000,1600.000000,172.591467,2006.662938
133,2400.000000,1600.000000,172.552532,1999.654936
134,2600.000000,1600.000000,172.591466,1999.187736
135,2800.000000,1600.000000,177.224533,1984.159471
136,3000.000000,1600.000000,158.186133,2015.539739
137,3200.000000,1600.000000,156.044799,2013.476270
138,3400.000000,1600.000000,149.581867,2016.902405
139,3600.000000,1600.000000,145.026667,2011.685337
140,3800.000000,1600.000000,136.694934,1999.421339
141,200.000000,1800.000000,185.205869,1986.145073
142,400.000000,1800.000000,199.883734,2001.134404
143,600.000000,1800.000000,186.724268,2005.572805
144,800.000000,1800.000000,169.710400,1985.366404
145,1000.000000,1800.000000,156.979201,1993.230937
146,1200.000000,1800.000000,156.083732,1992.335468
147,1400.000000,1800.000000,157.446398,1989.571201
148,1600.000000,1800.000000,168.114133,1997.941870
149,1800.000000,1800.000000,178.119999,2006.390402
150,2000.000000,1800.000000,173.798400,2008.609604
151,2200.000000,1800.000000,167.569066,2010.867736
152,2400.000000,1800.000000,167.919465,1991.673602
153,2600.000000,1800.000000,164.804799,1988.792538
154,2800.000000,1800.000000,162.196266,1990.544538
155,3000.000000,1800.000000,141.250132,2018.576538
156,3200.000000,1800.000000,146.895467,2007.519472
157,3400.000000,1800.000000,145.688534,2012.386137
158,3600.000000,1800.000000,139.809601,2008.453872
159,200.000000,2000.000000,177.263468,1978.085872
160,400.000000,2000.000000,197.275200,1998.525870
161,600.000000,2000.000000,183.687467,2000.784004
162,800.000000,2000.000000,184.271468,1999.927472
163,1000.000000,2000.000000,159.704535,1995.956271
164,1200.000000,2000.000000,168.542400,2002.886403
165,1400.000000,2000.000000,161.923731,1994.048534
166,1600.000000,2000.000000,168.464530,1995.800533
167,1800.000000,2000.000000,179.638399,2005.378136
168,2000.000000,2000.000000,174.148799,2005.923203
169,2200.000000,2000.000000,154.020266,2009.582935
170,2400.000000,2000.000000,149.465064,2003.742932
171,2600.000000,2000.000000,157.718933,1984.393072
172,2800.000000,2000.000000,137.045333,2006.857606
173,3000.000000,2000.000000,133.463467,2010.556272
174,3200.000000,2000.000000,131.828266,2015.773340
175,3400.000000,2000.000000,129.336532,2009.271469
176,200.000000,2200.000000,173.798401,1974.659738
177,400.000000,2200.000000,187.580800,1988.831470
178,600.000000,2200.000000,188.826668,1996.267734
179,800.000000,2200.000000,180.027735,2005.378140
180,1000.000000,2200.000000,162.157333,1998.409069
181,1200.000000,2200.000000,169.165334,2003.509337
182,1400.000000,2200.000000,160.911464,1991.751467
183,1600.000000,2200.000000,172.552532,1999.888535
184,1800.000000,2200.000000,174.304532,1998.798402
185,2000.000000,2200.000000,166.556800,1997.474671
186,2200.000000,2200.000000,150.282665,2002.613867
187,2400.000000,2200.000000,146.194665,1997.552535
188,2600.000000,2200.000000,150.866666,1973.452805
189,2800.000000,2200.000000,129.686935,1998.331208
190,3000.000000,2200.000000,124.898134,2001.134407
191,3200.000000,2200.000000,116.916801,2015.734406
192,200.000000,2400.000000,180.183467,1973.297068
193,400.000000,2400.000000,182.324801,1981.589871
194,600.000000,2400.000000,183.492801,1990.933867
195,800.000000,2400.000000,176.990934,2002.341339
196,1000.000000,2400.000000,185.906669,2011.257074
197,1200.000000,2400.000000,165.349868,1999.693871
198,1400.000000,2400.000000,172.318933,2003.158936
199,1600.000000,2400.000000,165.855997,1993.192000
200,1800.000000,2400.000000,169.671466,1991.245336
201,2000.000000,2400.000000,159.704533,1988.636804
202,2200.000000,2400.000000,142.067735,1992.724804
203,2400.000000,2400.000000,140.510401,1990.038405
204,2600.000000,2400.000000,133.463466,1984.198402
205,2800.000000,2400.000000,123.068268,1992.335475
206,3000.000000,2400.000000,112.906669,2006.040009
207,200.000000,2600.000000,168.308800,1961.422401
208,400.000000,2600.000000,169.515735,1968.780805
209,600.000000,2600.000000,173.175469,1980.616535
210,800.000000,2600.000000,164.493332,1989.843737
211,1000.000000,2600.000000,175.122134,2000.472539
212,1200.000000,2600.000000,164.960533,1999.304536
213,1400.000000,2600.000000,167.062936,1997.902939
214,1600.000000,2600.000000,152.307199,1978.046936
215,1800.000000,2600.000000,156.434131,1978.008001
216,2000.000000,2600.000000,150.866666,1978.786670
217,2200.000000,2600.000000,136.967467,1986.261871
218,2400.000000,2600.000000,130.971732,1978.163736
219,2600.000000,2600.000000,126.221865,1974.387201
220,2800.000000,2600.000000,114.464001,1978.825607
221,200.000000,2800.000000,152.385067,1945.498668
222,400.000000,2800.000000,153.981334,1953.246404
223,600.000000,2800.000000,158.964800,1966.639465
224,800.000000,2800.000000,150.633067,1975.983472
225,1000.000000,2800.000000,162.313068,1987.663473
226,1200.000000,2800.000000,173.019735,1996.579207
227,1400.000000,2800.000000,163.052801,1993.892804
228,1600.000000,2800.000000,158.692267,1984.432004
229,1800.000000,2800.000000,144.715198,1966.289068
230,2000.000000,2800.000000,141.678400,1970.260270
231,2200.000000,2800.000000,126.494399,1975.010136
232,2400.000000,2800.000000,122.172799,1969.403736
233,2600.000000,2800.000000,115.515201,1960.176537
234,200.000000,3000.000000,142.690667,1934.285868
235,400.000000,3000.000000,152.385067,1943.980268
236,600.000000,3000.000000,150.594135,1949.859205
237,800.000000,3000.000000,143.702932,1959.281070
238,1000.000000,3000.000000,142.145601,1967.496006
239,1200.000000,3000.000000,154.915734,1978.475206
240,1400.000000,3000.000000,156.979201,1988.753604
241,1600.000000,3000.000000,150.944533,1976.684270
242,1800.000000,3000.000000,148.024534,1969.598404
243,2000.000000,3000.000000,127.701331,1956.283201
244,2200.000000,3000.000000,119.797867,1955.699204
245,200.000000,3200.000000,136.889600,1929.847468
246,400.000000,3200.000000,143.936533,1935.531734
247,600.000000,3200.000000,132.334402,1931.599472
248,800.000000,3200.000000,122.678932,1938.257070
249,1000.000000,3200.000000,134.475733,1950.053871
250,1200.000000,3200.000000,135.565868,1959.125340
251,1400.000000,3200.000000,145.221336,1966.366942
252,1600.000000,3200.000000,147.245868,1975.555204
253,1800.000000,3200.000000,138.563732,1960.137602
254,2000.000000,3200.000000,121.861333,1950.014937
255,600.000000,3400.000000,132.762666,1924.357867
256,800.000000,3400.000000,116.566402,1922.761601
257,1000.000000,3400.000000,114.775467,1930.353605
258,1200.000000,3400.000000,115.632002,1939.191474
259,1400.000000,3400.000000,123.340801,1944.486407
260,1600.000000,3400.000000,128.752535,1946.588807
Best,2600.000000,200.000000,216.819732,1991.634671
